requirement	work_packet	subsystem	seat_file	test(Q/KW/VS)	evidence
R-83	WP-13	S15	Q16 κριτήριο	Q16, Q20	schema
R-84	WP-13	S15	v1.4 §4.13	Q16	αρχή
R-85	WP-00	S11/S15	census-2 materials + CI	Q18	attestations
R-86	WP-00	S11/S15	Dockerfile + deps.lock (+ NixOS)	Q12, Q19 / VS-15	digests
R-87	WP-00	S11/S15	`docker/sbom.json`	Q40	SBOM
R-88	WP-00	S11/S15	cosign	Q12	signatures
R-89	WP-06	S10/S11	M5 + threshold/HSM	Q17, Q23	ceremony/audit trail
R-90	WP-06	S10/S11	trust boundaries	Q17	policy + test
R-91	WP-12	S12/S13/S18	= R-79	Q17, Q39	auth log
R-92	WP-06	S10/S11	`keys/` custody, HSM	Q17, Q40	custody record
R-93	WP-13	S15	SBOM scan	Q40	scan reports
R-94	WP-06	S10/S11	MLTP v3 §8.3 L	Q23, Q40 / VS-12	drill record
R-95	WP-13	S15	PLANE-0 + journal replay	Q19 / VS-15	replay digests
R-96	WP-13	S15	δύο υποδομές	Q40	topology record
R-97	WP-13	S15	L1 δημόσια γεγονότα + §2.7	Q26, Q40	incident feed
R-98	WP-13	S15	SLO registry (U-1)	Q40	measurements
R-99	WP-00	S11/S15	`.github/workflows` (REPLACE)	Q18	CI runs (API)
R-100	WP-00	S11/S15	`BLOCKED ≠ FAIL`	Q18	exit code log
R-101	WP-11	S9/S14	`deployment/verify/*` + MLTP v3 §8	Q22 / VS-11	receipts + LOC count
R-102	WP-11	S9/S14	νέο OpenAPI πάνω στο capability-api	Q14, Q27	spec + validation
R-103	WP-11	S9/S14	`mcp-server.lisp`	Q27 / VS-11	tool list
R-104	WP-11	S9/S14	περιτυλίγματα verifier	Q22	SDK tests
R-105	WP-11	S9/S14	`ai-corpus-dump.lisp` κ.λπ.	Q12, Q27	feed digests
R-106	WP-11	S9/S14	README + TRUST-BOOTSTRAP §3	Q23	docs
R-107	WP-11	S9/S14	vectors + second impl	Q21, Q22	conformance report
R-108	WP-11	S9/S14	`deployment/verify/vectors/`	Q22	vectors
R-109	WP-11	S9/S14	v1.4 §4.15	Q27, Q28	provider test
R-110	WP-11	S9/S14	MLTP v3 §3.1	Q26, Q28	attestations
R-111	WP-12	S12/S13/S18	v1.4 §1.3/§1.4 + MLTP v3 §1.0	Q20	schema compile failure
R-112	WP-14	qualification	v1.4 §1.1	contradiction audit	audit output
R-113	WP-14	qualification	crosswalk §B + αυτό	contradiction audit	audit output
R-114	WP-14	qualification	MLTP v3 §3.1 + v1.4 §10	Q28	QSR records
R-115	WP-14	qualification	MLTP v3 §8.3 F/Q	Q28	receipts
R-116	WP-14	qualification	`DOMINANCE-MATRIX.md`	validation pass 2	dominance record
R-117	WP-14	qualification	v1.4 §7 + register	contradiction audit	audit
R-118	WP-14	qualification	Q-tests §8	—	programme text
R-119	WP-11	S9/S14	MLTP v3 §2.0	Q41 / VS-01, VS-02	claims με legal_timeline
R-120	WP-11	S9/S14	MLTP v3 §2.0, §8.3 S	Q41, Q06	verifier trace
R-121	WP-11	S9/S14	v1.4 §4.7	Q41, Q14	API schema
R-122	WP-11	S9/S14	MLTP v3 §2.10, §8.3 C	Q42 / VS-11	receipts + vectors
R-123	WP-11	S9/S14	`citation_policy_id` registry	Q42	policy + rendering
R-124	WP-11	S9/S14	v1.4 §4.16 έδρες	Q42, Q16, Q27	vectors + monitoring reports
R-125	WP-06	S10/S11	`deployment/verify/mltp3/` (dag_check, build_fixtures)	Q43 / dag_check	REPORT.json (dag_acyclic)
R-126	WP-06	S10/S11	`verify_a.go` + `verify_b.mjs`	Q43 / harness	REPORT.json (backends, negatives 31/31)
R-127	WP-06	S10/S11	MLTP v3 §13.3	Q42, Q43	REPORT.json (certified VERIFIED)
R-128	WP-06	S10/S11	MLTP v3 §13.4/§13.1	Q43	REPORT.json
R-129	WP-08	S4	`LAWMAX-LEGAL-IR-SEMANTIC-CONTRACT.md`· v1.4 §4.17	VS-09, VS-10	SEMANTIC-CONTRACT (design· PARTIALLY CLOSED· Implementation Book pending)
R-130	WP-06	S10/S11	MLTP v3 §14· v1.4 §4.18	VS-12	MLTP §14 (design)· threat Θ15
R-131	WP-07	S2/S3/S17	MLTP v3 §2.11· `source/shacl-validator.lisp` (EXTEND)· v1.4 §4.19	VS-11	MLTP §2.11 (design)· threat Θ16
R-132	WP-01	S1/S16	`LAWMAX-PUBLIC-SOURCE-TYPE-AUTHORITY-REGISTRY.md`· v1.4 §4.20	VS-13	SOURCE-REGISTRY (design)· census total function
R-133	WP-02	S2	`LAWMAX-SECURE-SEMANTIC-INGRESS-CONTRACT.md`· **NEW non-evaluating decoder** (ΟΧΙ safe-read· safe-read=internal-only)· v1.4 §4.21	VS-06	INGRESS-CONTRACT (design)· threat Θ18
R-134	WP-06	S10/S11	MLTP v3 §10.2/§14.4· v1.4 §4.22/§4.14	VS-12	threat Θ17 (design)
