# lawmax-phase1-evidence-ledger/1
# source_commit	e621dbe1d00f3a18039b63fc0dfc3ff08ce21a03
# source_tree	23b7a6f4450f50d151d38e13020bee9872e73bcd
# historical_baseline	57c0cd868c80f87df8e298c9aa75b8ccf2503391
# corroboration_commit	2b910271f11fc462eee1378fb9a77623c791fcbf
# generated_at_utc	2026-08-26T00:36:43Z
# rows	104
# evidence_classes	MECHANICALLY-PROVED=73; EMPIRICALLY-REPRODUCED=2; SOURCE-GROUNDED-INFERENCE=23; UNRESOLVED=6
# provenance	claude-p1a-corrected=2; claude-p1a-validated=11; deepseek-corrected=1; deepseek-invalidated=1; deepseek-retained=5; newly-established=84
# unresolved_rows	6
# self_sha256_convention	sha256 of this file with the 64 hex characters after '# self_sha256\t' replaced by 64 zeros
# self_sha256	6e14a2d5137696db2371abd0ca668efd40de7bff62ad85e6cc96ac045ec7e197
#
id	evidence_class	provenance	path	line_start	line_end	blob_sha1	claim	method
EV-I-006	MECHANICALLY-PROVED	deepseek-invalidated	<repo>				systems/ contains 175 files at e621dbe1, not the 174 recorded by the DeepSeek baseline; the single addition is systems/orchestrator-epistemic/authority-boundary.lisp.	path count at both commits plus git diff --name-status
EV-I-007	MECHANICALLY-PROVED	deepseek-retained	<repo>				17 ASDF defsystem forms exist across 16 real .asd files; systems/orchestrator-omega.asd is a symlink to ../orchestrator-omega.asd, and orchestrator.asd declares two systems (orchestrator and orchestrator/tests).	enumeration of .asd paths outside third-party/ plus defsystem-form extraction
EV-I-008	MECHANICALLY-PROVED	deepseek-retained	systems/orchestrator-omega-modules				orchestrator-omega is implemented, not spec-only: systems/orchestrator-omega-modules holds 25 files.	path count
EV-I-009	MECHANICALLY-PROVED	newly-established	tests				tests/ holds 152 tracked files, of which 136 match *-test.lisp; the delta added exactly one suite, tests/level7-disarm-test.lisp.	path count at both commits
EV-D-001	MECHANICALLY-PROVED	newly-established	<repo>				57c0cd86 is a direct ancestor of e621dbe1 (merge-base equals 57c0cd86); the delta is 13 commits, 100 changed paths, +8,265/-414 lines.	git merge-base, git rev-list --count, git diff --numstat
EV-D-002	MECHANICALLY-PROVED	newly-established	<repo>				Of the 100 delta paths, 76 are additions under authority-v2/ (63), deployment/collab/dialogue (4), evidence/ (3), keys/ (3), candidates/ (1), systems/ (1), tests/ (1); the rest are modifications.	git diff --name-status -M classification
EV-D-003	MECHANICALLY-PROVED	newly-established	<repo>				The Claude Phase-1A commit 2b910271 is a descendant of e621dbe1 and modifies no first-party source: its 210 changed paths are confined to .claude/, experiment/, NEXT-SESSION-CANARY-HANDOFF.md and .gitignore.	git merge-base --is-ancestor plus git diff --name-status filtered
EV-T-001	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-epistemic/authority-boundary.lisp	21	39	a2f9d6132a45cf171cf5c2f3f2b313c8acce62be	A single condition class legacy-authority-seat-removed and one signalling helper %seat-removed constitute the one seat at which every legacy authority write is refused; the refusal is unconditional (a plain (error ...)), with no restart and no fallback.	read of the definition
EV-T-002	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-epistemic/transparency-log.lisp	117	132	4c874f8b621a3c60a427075c83786b4fc6fcc578	tlog-append-root! no longer appends: its body is (%seat-removed "tlog-append-root!" ...), so every authoritative transparency-log write from the Lisp system fails closed.	read of the function body
EV-T-003	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-epistemic/deploy-epistemic.lisp	952	968	abb7ce8535e6286b260ba3f7a22ec18b3145a445	release-attested-p and promote-latest! are both reduced to %seat-removed calls; the two remaining legacy publication seats are disarmed at their definition.	read of both function bodies
EV-T-004	MECHANICALLY-PROVED	newly-established	systems/orchestrator-epistemic/transparency-log.lisp	74	84	4c874f8b621a3c60a427075c83786b4fc6fcc578	The legacy log writers %tlog-write and %tlog-write-1 are deleted from the tree, not merely disabled; a frozen historical copy lives at authority-v2/fixtures/legacy-tlog/REMOVED-tlog-writers.lisp.txt, which no .asd declares.	absence of the definitions in the blob plus the fixture's presence outside every system definition
EV-T-005	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-cli/release-authority.lisp	154	163	361aee851cae398f86581ea8f14fb7a268aa2e3b	run-attest-release is deleted and the command name --attest-release is entered in a retired-seat registry with reason, retirement point and replacement; the name answers honestly instead of executing.	read of the retire-command! form and the surrounding commentary
EV-T-006	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-cli/cli-util.lisp	82	133	69a92889b62a3811b6c299062e1df6e001f4e9b8	cli-util introduces *retired-commands*, retire-command!, retired-command and resolve-command; register-command signals an error if a retired name is re-registered, and retire-command! signals if a name is simultaneously active — resurrection by accident is structurally refused.	read of the registry and its two guards
EV-T-007	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-cli/main.lisp	2534	2543	3815e268fe7ff3cc0653d9ab13bcbdafb1e489a3	The CLI dispatcher routes through the single resolve-command seat, so active, retired and unknown commands are decided in one place; an unknown name still falls through to the usage handler.	read of the dispatch expression
EV-T-008	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-epistemic/deploy-epistemic.lisp	827	830	abb7ce8535e6286b260ba3f7a22ec18b3145a445	atomic-publish-release now targets candidates/<release-id>/ instead of releases/<release-id>/; the producer's write destination is a different namespace, not the same namespace under a convention.	read of the final-dir computation
EV-T-009	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-epistemic/authority-boundary.lisp	64	96	a2f9d6132a45cf171cf5c2f3f2b313c8acce62be	emit-candidate-bundle! writes an evidence-only marker carrying authority:false into candidates/; the code and its commentary explicitly retract the earlier 'immutable candidate' characterisation, since the producer owns candidates/.	read of the function and its docstring
EV-T-010	SOURCE-GROUNDED-INFERENCE	newly-established	source/paths.lisp	142	162	651d3a2852fc1bb373e13e4bc834239df43cce7e	Two new seats separate producer workspace from ephemeral process state: output-root (ORCHESTRATOR_OUTPUT_DIR, previously duplicated at five call sites) and runtime-state-dir (LAWMAX_RUNTIME_DIR, for health/pid/locks, never inside output/).	read of both definitions and the preceding rationale
EV-T-011	SOURCE-GROUNDED-INFERENCE	newly-established	systems/orchestrator-cli/main.lisp	7	15	3815e268fe7ff3cc0653d9ab13bcbdafb1e489a3	The health-file path became a function evaluated at run time; as a defparameter it was baked into the saved core at load time, so a container's LAWMAX_RUNTIME_DIR could never have taken effect.	read of the definition and its recorded rationale
EV-K-001	SOURCE-GROUNDED-INFERENCE	newly-established	authority-v2/kernel/admission-model.sexp	21	22	2b89ecde049f7bf3f29ad2a7cad4a862ce20f926	The admission kernel K(old_state, candidate, evidence, policy) is declared :implementation-status :specification-only with :implementation-language-target 'F* (verified) — not Common Lisp'. No implementation of K exists anywhere in the tree.	read of the declaration plus absence of any implementing artefact in the delta and the tree
EV-K-002	SOURCE-GROUNDED-INFERENCE	newly-established	authority-v2/store/STORAGE-API.sexp	20	23	370173f3f379cbb87b5bb7525275293ba9fc3e0b	The authority store is declared :implementation-status :absent-by-design, :production-writer :disabled, :substrate-status :externally-blocked, with hand-rolled intent logs, SQLite and atomic-rename-plus-crash-tests named as forbidden substitutes.	read of the declaration block
EV-K-003	SOURCE-GROUNDED-INFERENCE	newly-established	docker-compose.yml	330	341	24d2b59fb71cb1e4e206a008c164b38ce2880858	The authority-signer service — the only seat with the private key and the authority store — has as its whole command an error message stating the admission kernel is unimplemented, followed by exit 3. It refuses rather than pretending to sign.	read of the service definition
EV-K-004	MECHANICALLY-PROVED	newly-established	authority-v2/LEVEL7-COMPLETION-MATRIX.sexp	252	259	00862595ad691d1ac0f2e1d80e2c7fd65a653a91	The completion matrix's own summary is arithmetically consistent with its rows: 13 requirements, 0 proved, 3 implemented-not-proved, 7 externally-blocked, 3 not-started, level7 nil.	recount of the :status fields across all 13 rows against the declared summary
EV-K-005	MECHANICALLY-PROVED	newly-established	authority-v2/proof-manifest.sexp	60	62	9f590d6494be6428763a1ae605cbc2a7937ea6ca	The proof manifest declares 17 theorems, 0 proved, 0 failed, 17 blocked-toolchain, gate :not-passed — consistent with its rows; every load-bearing theorem awaits F*, Coq/Perennial or CompCert, none of which is present.	recount of theorem rows against the declared summary
EV-K-006	SOURCE-GROUNDED-INFERENCE	newly-established	authority-v2/toolchain/everparse.Dockerfile	26	41	4e9c9b1bb63168aee78d8b79ecbb2d4fe40d7740	The unblocking path for the canonical-wire requirement is a hermetic build whose version pins are the literal placeholder PIN-REQUIRED; the build fails deliberately until a human supplies verified commits and digests.	read of the ARG block and its guard loop
EV-P-001	EMPIRICALLY-REPRODUCED	deepseek-corrected	<repo>				The DeepSeek write-authority bypass count is reproduced exactly at the historical target: the query `with-open-file.*:direction\s+:output` over source/*.lisp and systems/**/*.lisp yields 41 matches at 57c0cd86. The baseline's file count of 18 is wrong: the correct figure is 20, which is also the number of paths enumerated in the sealed ledger record EV-1-02836.	re-execution of the query recorded in the sealed DeepSeek ledger, at the historical commit
EV-P-002	MECHANICALLY-PROVED	newly-established	<repo>				At e621dbe1 the same query yields 40 matches across 19 files. The delta removed the single write site in transparency-log.lisp and the single site in deploy-epistemic.lisp, and added one in authority-boundary.lisp.	same query re-executed at the target commit; per-file difference computed
EV-P-003	EMPIRICALLY-REPRODUCED	deepseek-retained	<repo>				The DeepSeek hash-authority bypass count is reproduced exactly: `ironclad:digest-sequence` over the same include set yields 29 matches across 17 files at 57c0cd86, as claimed.	re-execution of the query recorded in sealed ledger record EV-1-02837
EV-P-004	MECHANICALLY-PROVED	newly-established	<repo>				At e621dbe1 the hash-bypass figure is 28 matches across 16 files; deploy-epistemic.lisp lost its single direct digest call.	same query at the target commit
EV-P-005	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/CURRENT-SYSTEM-EVIDENCE.json				The admitted DeepSeek evidence artifact holds 513 records, every one of kind durable-read-coverage with status UNKNOWN and a boilerplate proposition. It carries read coverage, not substantive propositions.	structural analysis of the record set
EV-P-006	MECHANICALLY-PROVED	newly-established	<external>/full/output/blind/phase-1/WORKING-MEMORY.md				The DeepSeek narrative cites evidence identifiers EV-1-02836, EV-1-02837 and EV-1-082 which do not occur in the admitted evidence artifact (whose identifiers span EV-1-00004..EV-1-01748). The first two resolve only in the sealed but separately-held phase-1 ledger; EV-1-082 resolves nowhere.	identifier extraction from all five admitted artifacts and from the sealed ledger
EV-C-001	MECHANICALLY-PROVED	newly-established	<c1a>/experiment/phase1a/contracts.sexp				The Claude Phase-1A contracts dossier is authentic: its content sha256 is 6ab0457e1a7b2993941b95ce8bbf431910876892157e103c7a797d2f4731352d, exactly the value its own external classification file declares.	sha256 of the git blob content compared with the declared value
EV-C-002	MECHANICALLY-PROVED	newly-established	<c1a>/experiment/phase1a				2,755 file:line citations were extracted from 25 Phase-1A dossiers and resolved against e621dbe1: 2,752 resolve to a tracked path with an in-range line span; 3 (one distinct citation repeated across three dossier revisions) over-reach the file end.	mechanical citation extraction and resolution against the tracked tree and per-file line counts
EV-C-003	MECHANICALLY-PROVED	claude-p1a-corrected	source/capability-registry.lisp	206	206	8e764a1a1a1d584f3c513b0789c10cfc0ef6a0ae	The only unresolvable imported citation is source/capability-registry.lisp:40-207; the file has 206 lines, so the range over-reaches by one. The citation is admitted in corrected form as 40-206.	line count of the blob at the target commit
EV-C-004	MECHANICALLY-PROVED	claude-p1a-validated	README.md	304	304	8e6471609dea00690ad5a871106183e3d917b5c1	GATE-4 'Pipeline integrity (no subprocess)' exists only as a row in the README gate table. An exhaustive search of the tree outside third-party/ and the output trees finds no other occurrence with that meaning; the two GATE-4A hits concern the unrelated Single Emission Law.	repository-wide grep at the target commit
EV-C-005	MECHANICALLY-PROVED	claude-p1a-validated	README.md	253	253	8e6471609dea00690ad5a871106183e3d917b5c1	The README architecture tree lists source/gate-guards.lisp ('CI/CD guards (Pure Lisp)'); no such file exists at the target commit.	git cat-file -e on the declared path
EV-C-006	MECHANICALLY-PROVED	claude-p1a-validated	source/pdf-authority.lisp	28	28	734274b633725536b9a1ab6f8e4d8d7608a8f6ae	The file header asserts 'DARPA-GRADE: No Python, no subprocess, direct C library access' while the same file launches five external processes at lines 1389, 1391, 1393, 1409 and 1419 (which pdftoppm, which tesseract, tesseract --list-langs, pdftoppm, tesseract).	read of the header line and of every uiop:run-program call site in the same blob
EV-C-007	MECHANICALLY-PROVED	claude-p1a-validated	Dockerfile	363	375	a6dee238b8a1251d8a2baf78cd9068c12934c3af	The final runtime stage (FROM ... AS runtime at line 333) runs apt-get update and installs poppler-utils, tesseract-ocr and tesseract-ocr-ell, so the production image ships exactly the subprocess tooling the headers disavow.	read of the runtime stage
EV-C-008	MECHANICALLY-PROVED	claude-p1a-validated	Dockerfile	5	5	a6dee238b8a1251d8a2baf78cd9068c12934c3af	Hermetic-construction claims are contradicted by the build definition: Dockerfile:5 declares a 'Multi-stage hermetic build', DEPENDENCY-CONTRACT.md:233 ticks 'docker build --network=none supported', and PROVENANCE.yaml:292-294 declares hermetic no_network: true, while the Dockerfile invokes apt-get update at lines 41, 68, 241 and 363. With --network=none the first such stage fails.	read of all four sites at the target commit
EV-C-009	MECHANICALLY-PROVED	claude-p1a-validated	docker-compose.yml	8	8	24d2b59fb71cb1e4e206a008c164b38ce2880858	The documented quickstart cannot succeed by default: compose passes GIT_COMMIT=${GIT_COMMIT:-dev} while Dockerfile:172-173 fails the build unless GIT_COMMIT is exactly 40 hex characters, and the runtime target descends from that stage.	read of both sites
EV-C-010	MECHANICALLY-PROVED	claude-p1a-validated	Dockerfile.test	20	29	64b3d6e4a142b0b6508dba052b9e27d724913649	Dockerfile.test downloads Quicklisp over the network as root and runs (ql:quickload :fiveam), contradicting Dockerfile:108 ('NO Quicklisp') and build.lisp:11 ('hermetic layout - no Quicklisp').	read of all three sites
EV-C-011	MECHANICALLY-PROVED	claude-p1a-validated	.github/workflows/docker-orchestrator.yml	231	231	9b3dd5e36c768967388e624f40402b3202d520b7	The SBOM step of the supply-chain workflow executes unpinned remote code: curl -sSfL https://raw.githubusercontent.com/anchore/syft/main/install.sh | sh.	read of the workflow step
EV-C-012	MECHANICALLY-PROVED	claude-p1a-validated	source/blockchain-authority.lisp	927	942	75c2194535acdfe92d9b58a6ebd0b876557f19c2	The blockchain verification path discards the response body — (declare (ignore response)) — and returns (= status 200) for Arweave and IPFS; the Ethereum branch checks only a receipt status field. No branch checks that the anchored bytes hash to the claimed value, so the SEMANTIC-CONTRACT guarantee of tamper detection is not discharged by this code.	read of the verification function
EV-C-013	MECHANICALLY-PROVED	claude-p1a-corrected	orchestrator-tooling.asd	20	20	add9d463c1e201dfc04df1b094b1a36e88b58a35	orchestrator-tooling declares :components () and is loaded by nothing: no .asd depends on it and no Dockerfile, workflow or compose file references it. The Phase-1A claim of 'zero references in the whole repository' is corrected: four documentation references exist (DEPENDENCY-CONTRACT.md:109,136 and MANUAL-STEPS-HERMETIC.md:27,199). The accurate claim is zero executable references.	repository-wide grep plus inspection of the system definition
EV-C-014	MECHANICALLY-PROVED	claude-p1a-validated	deps.archives.lock	1	1	aa875d2d4f1ae66b81fee2fd6512da3d7e0be2cf	deps.archives.lock is empty: 20 bytes holding one CRLF-terminated comment line, '# name sha256(zip)'.	byte count and content dump of the blob
EV-C-015	MECHANICALLY-PROVED	claude-p1a-validated	SYSTEM-HIERARCHY.txt	2	2	b98aa038e54b629a98b6d06c04e906990553a2d5	Declared version diverges across seats: SYSTEM-HIERARCHY.txt:2 says 'ORCHESTRATOR v1.3' while orchestrator.asd:13,38 and Dockerfile:338 say 1.2.0.	read of all three sites
EV-N-001	MECHANICALLY-PROVED	newly-established	docker-compose.yml	17	17	24d2b59fb71cb1e4e206a008c164b38ce2880858	The main orchestrator service carries a malformed tmpfs option: '- /tmp:size=256m,mode=1777"' with a stray trailing double quote. The other four tmpfs blocks (lines 133, 210, 299, 348) are clean. YAML parses it as a plain scalar, so the defect surfaces at container start as an invalid tmpfs mode. This is the service that the documented 'docker compose up' runs.	line-by-line comparison of all five tmpfs blocks in the blob
EV-N-002	MECHANICALLY-PROVED	newly-established	docker-compose.yml	199	225	24d2b59fb71cb1e4e206a008c164b38ce2880858	The ingestion service lost its command: the pre-delta definition carried command: ["--run-ingestion"], and the post-delta block has no command key at all, so the service would run the image's default entrypoint instead of ingesting. It also lost networks, dns, restart, mem_limit, cpus, depends_on and ORCHESTRATOR_CORPUS, and INGEST_INTERVAL's default moved from 3600 to 86400.	diff of the service block between 57c0cd86 and e621dbe1 plus enumeration of command keys in the target blob
EV-N-003	MECHANICALLY-PROVED	newly-established	authority-v2/proofs/producer-topology-test.py			653db34d5a3f0e27e4b2c4973f8bbe9597059add	The topology proof cannot detect either compose defect: it validates uid roles, mount modes, key isolation, tmpfs presence, read_only, cap_drop and no-new-privileges, but never inspects command keys and never parses tmpfs option syntax. Both defects pass it green.	read of every assertion in the checker against the two defect sites
EV-N-004	MECHANICALLY-PROVED	newly-established	authority-v2/LEVEL7-COMPLETION-MATRIX.sexp	246	246	00862595ad691d1ac0f2e1d80e2c7fd65a653a91	Requirement 12 records 'EXECUTED 2026-07-31: level7-disarm 9/0 · release-authority 14/0 · transparency-log 23/0'. At the target commit tests/level7-disarm-test.lisp contains exactly 20 check forms and tests/transparency-log-test.lisp contains 21 ck forms; 23 is the value that held at 57c0cd86. The row therefore records counts that cannot correspond to the code committed alongside it.	static enumeration of assertion forms in each suite at both commits
EV-N-005	MECHANICALLY-PROVED	newly-established	authority-v2/LEVEL7-COMPLETION-MATRIX.sexp	122	122	00862595ad691d1ac0f2e1d80e2c7fd65a653a91	Requirement 5 records 'EXECUTED 2026-08-01: level7-disarm 20/0 · release-authority 14/0 · transparency-log 21/0', which does match the committed suites. Rows 5 and 12 therefore state different results for the same three suites in the same file.	assertion counts at the target commit compared with both rows
EV-N-006	MECHANICALLY-PROVED	newly-established	authority-v2/proofs/verify-completion-matrix.py	68	76	80e1002fb4417832af1dde266f78de6b4221a9fd	The matrix honesty gate cannot catch the contradiction: for a non-proved row it requires only that :actual-result exist and not contain the literal 'NOT-EXECUTED'. It never checks that a recorded result is current, reproducible, or mutually consistent with other rows.	read of the two status-specific checks in the verifier
EV-N-007	MECHANICALLY-PROVED	newly-established	authority-v2/run-proofs.sh	71	71	58b9d5a735735dd2c9b9b0b84bcf30660aa30f46	The proof runner classifies files outside proofs/ by extension allowlist (*.py|*.sh|*.lisp). A stray proof outside proofs/ with any other extension, or none, is silently dropped from classification — contradicting PROOF-CENSUS.txt:33-36, which states that classification depends on neither name nor execute bit.	read of the classification case statement against the census's stated principle
EV-N-008	MECHANICALLY-PROVED	newly-established	authority-v2/proofs/proof-census-adversarial-test.py			3428853d438403834ee7a11a41502388df2390f0	The census adversary never exercises that residual: every planted stray is a .py or .lisp file. No extensionless executable and no other-extension file is planted, so the extension-allowlist gap is untested.	enumeration of every strays= argument in the test
EV-N-009	MECHANICALLY-PROVED	newly-established	authority-v2/tests/probe-attest-refusal.lisp	22	22	70eb1f3cafbb52e069d60bbe50b281739be4d6f1	The probe is dead in two independent senses. It has no caller: its only occurrence in the whole tree is its own helper line in PROOF-CENSUS.txt:75. And its logic cannot succeed: it funcalls (find-symbol "RUN-ATTEST-RELEASE" :orchestrator.cli), a symbol the same delta deleted and which tests/level7-disarm-test.lisp asserts is unbound, so the call would raise a type error and the probe would print NOT-REFUSED rather than its success token.	repository-wide grep for callers plus reading the probe against the deleted definition
EV-N-010	SOURCE-GROUNDED-INFERENCE	newly-established	authority-v2/PROOF-CENSUS.txt	31	36	b68a13a92d8582430c3b19d5a0abbdbf999bfd9d	The census's 'classified exactly once' property is a completeness guarantee over files, not a liveness guarantee over execution: the helper mode exists precisely to let a file be classified without being run, so a file may be fully accounted for and still be dead code (EV-N-009 is an instance).	read of the helper mode's stated purpose
EV-N-011	MECHANICALLY-PROVED	newly-established	docker-compose.yml	376	397	24d2b59fb71cb1e4e206a008c164b38ce2880858	The proof-running service is the least constrained service in the file: privileged: true, the entire repository bind-mounted read-write as .:/repo:rw, an unpinned debian:bookworm-slim base (while the Dockerfile pins a digest), and apt-get install of sbcl, python3 and util-linux at run time. The topology proof exempts it by name because it does not use the runtime image, so none of its own assertions apply to it.	read of the service definition against the topology checker's exemption rule
EV-N-012	MECHANICALLY-PROVED	newly-established	authority-v2/capture/canonical-profile.json	3	3	361b62981077458d7eff1b0c2aebef266727324d	The canonical profile's mirrors field points at authority-v2/tests/capture-seat-differential-test.sh; the file actually lives at authority-v2/proofs/capture-seat-differential-test.sh. CAPTURE-PROTOCOL.sexp cites the correct path, so the two specifications disagree about where their own executable check lives.	path resolution of both references against the tracked tree
EV-N-013	MECHANICALLY-PROVED	newly-established	deployment/LAWMAX-REPO-GRAPH.json	1	2	fe95a55d24a66e5e72748f81e764d79859d25a19	The published repository graph pins commit 85b8f7f1658d9348ede4dbd116642fcc7b9aa5dd, which is neither the target commit nor the historical baseline; the artefact is stale with respect to the tree it describes.	read of the commit field against the two study commits
EV-N-014	MECHANICALLY-PROVED	newly-established	docker/suite-census.txt	1	5	5e673a972d99a25eb420f46db3d07e8f18a1b2a4	The delta deleted the entire 18-line explanatory header of the suite census — the text that stated the ratchet rule (removal or addition of a suite must turn the build red) — while adding one entry, level7-disarm. The rule's only written statement in that file is gone.	diff of the file between the two commits
EV-V-001	MECHANICALLY-PROVED	newly-established	authority-v2/PROOF-CENSUS.txt			b68a13a92d8582430c3b19d5a0abbdbf999bfd9d	At the target commit the proof census is exactly consistent with the tree: all 15 files under authority-v2/proofs/ are registered, no census entry is dead, every .py/.sh/.lisp file outside proofs/ is declared as tool or helper, and there is no symlink anywhere under authority-v2/.	set comparison between the committed census and the tracked authority-v2 subtree
EV-V-002	MECHANICALLY-PROVED	newly-established	authority-v2/capture/capture.py	80	81	a42bc1fc83c411304f1258446f9e11421d40f5cd	The pinned canonical-profile digest in capture.py equals the actual sha256 of authority-v2/capture/canonical-profile.json (7c1005aec4728e2b4ef8d8beec68295ac0b8bbebdfd52d46faf1a7a7b028dd35); the pin is live and correct at this commit.	sha256 of the profile blob compared with the constant
EV-V-003	MECHANICALLY-PROVED	newly-established	authority-v2/capture/canonical-profile.json	6	17	361b62981077458d7eff1b0c2aebef266727324d	The canonical profile is a faithful mirror of the production constant: its ten entries are exactly +epistemic-canonical-files+ (systems/orchestrator-epistemic/release-manifest.lisp:76-89), listed in the order that collect-epistemic-artifacts produces by sorting namestrings.	set and order comparison performed directly on the two sources, independent of the runtime differential test
